Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),DEPTH
AAVE_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,SKIPPED,,,$23.6K / $23.6K
AxCNH_USDT,SKIPPED,,,SKIPPED,,,WARNING,09:03:07,A3:CRITICAL|A2:HIGH,SKIPPED,,,CHECKED,13:03:41,A4:MEDIUM,CHECKED,14:56:55,A4:MEDIUM,SKIPPED,,,$280 / $321
ADA_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,SKIPPED,,,CHECKED,14:56:55,,CHECKED,18:09:07,,$88.0K / $102.0K
ALGO_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,SKIPPED,,,CHECKED,12:46:18,,CHECKED,13:03:41,,WARNING,14:56:55,A2:HIGH|A2:HIGH,CHECKED,18:09:07,,$28.6K / $31.4K
BCH_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,WARNING,09:03:07,A3:CRITICAL|A2:HIGH,SKIPPED,,,SKIPPED,,,CHECKED,14:56:55,,CHECKED,18:09:07,,$38.8K / $45.5K
BNB_USDT,WARNING,01:09:41,A2:HIGH,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,SKIPPED,,,$28.3K / $28.3K
BONK_USDT,SKIPPED,,,CHECKED,06:44:14,,WARNING,09:03:07,A3:CRITICAL|A2:HIGH,CHECKED,12:46:18,,CHECKED,13:03:41,A4:MEDIUM,CHECKED,14:56:55,A4:MEDIUM,SKIPPED,,,$4.3K / $4.6K
BTC_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$921.3K / $1.07M
CAKE_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$9.7K / $15.8K
CFX_USDT,CHECKED,01:09:41,,SKIPPED,,,SKIPPED,,,CHECKED,12:46:18,,SKIPPED,,,CHECKED,14:56:55,,SKIPPED,,,$9.7K / $11.4K
DASH_USDT,CHECKED,01:09:41,,SKIPPED,,,CHECKED,09:03:07,,SKIPPED,,,SKIPPED,,,CHECKED,14:56:55,,CHECKED,18:09:07,,$15.5K / $17.5K
DOT_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,SKIPPED,,,$16.9K / $22.4K
DOGE_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$14.4K / $18.1K
ETH_USDT,CHECKED,01:09:41,,SKIPPED,,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,SKIPPED,,,CHECKED,18:09:07,,$88.7K / $100.0K
FARTCOIN_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$20.2K / $23.2K
FLOKI_USDT,SKIPPED,,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$13.4K / $16.2K
HYPE_USDT,WARNING,01:09:41,A3:CRITICAL|A2:HIGH,CHECKED,06:44:14,A4:MEDIUM,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,A4:MEDIUM,CHECKED,18:09:07,,$5.9K / $6.1K
LINK_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,SKIPPED,,,CHECKED,14:56:55,,CHECKED,18:09:07,,$34.1K / $34.2K
LSK_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$7.9K / $10.3K
LTC_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,SKIPPED,,,$48.5K / $48.5K
NEAR_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,SKIPPED,,,$5.6K / $6.3K
NOS_USDT,CHECKED,01:09:41,A4:MEDIUM,CHECKED,06:44:14,A4:MEDIUM,CHECKED,09:03:07,A4:MEDIUM,SKIPPED,,,CHECKED,13:03:41,A4:MEDIUM,SKIPPED,,,CHECKED,18:09:07,A4:MEDIUM,$1.8K / $1.9K
PEPE_USDT,SKIPPED,,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$11.7K / $14.5K
POL_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,SKIPPED,,,CHECKED,14:56:55,A2:HIGH|A4:MEDIUM,SKIPPED,,,$3.1K / $3.2K
RENDER_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,SKIPPED,,,$6.8K / $8.1K
Sonic_USDT,SKIPPED,,,CHECKED,06:44:14,,SKIPPED,,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,A4:MEDIUM,$2.3K / $2.6K
SHIB_USDT,CHECKED,01:09:41,,SKIPPED,,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$7.6K / $11.2K
SLP_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,CHECKED,13:03:41,,CHECKED,14:56:55,,SKIPPED,,,$5.8K / $5.8K
SOL_USDT,WARNING,01:09:41,A2:HIGH,CHECKED,06:44:14,,WARNING,09:03:07,A2:HIGH,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$17.5K / $24.0K
STRK_USDT,CHECKED,01:09:41,A4:MEDIUM,SKIPPED,,,CHECKED,09:03:07,A4:MEDIUM,CHECKED,12:46:18,A4:MEDIUM,CHECKED,13:03:41,A4:MEDIUM,CHECKED,14:56:55,A4:MEDIUM,CHECKED,18:09:07,A4:MEDIUM,$822 / $885
SUI_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,A4:MEDIUM,CHECKED,09:03:07,,CHECKED,12:46:18,A4:MEDIUM,SKIPPED,,,CHECKED,14:56:55,A4:MEDIUM,CHECKED,18:09:07,A4:MEDIUM,$3.7K / $4.2K
TON_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,CHECKED,09:03:07,,SKIPPED,,,WARNING,13:03:41,A2:HIGH,CHECKED,14:56:55,,CHECKED,18:09:07,A4:MEDIUM,$4.7K / $5.4K
TRX_USDT,CHECKED,01:09:41,,SKIPPED,,,CHECKED,09:03:07,,SKIPPED,,,SKIPPED,,,CHECKED,14:56:55,,SKIPPED,,,$400.8K / $400.8K
USDC_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,SKIPPED,,,CHECKED,12:46:18,,CHECKED,13:03:41,,SKIPPED,,,CHECKED,18:09:07,,$705.8K / $1.11M
WIF_USDT,SKIPPED,,,CHECKED,06:44:14,,CHECKED,09:03:07,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,A4:MEDIUM,$4.3K / $5.4K
XLM_USDT,CHECKED,01:09:41,,CHECKED,06:44:14,,SKIPPED,,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$26.4K / $52.0K
XRP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,CHECKED,12:46:18,,CHECKED,13:03:41,,CHECKED,14:56:55,,CHECKED,18:09:07,,$56.7K / $56.7K
XYO_USDT,CHECKED,01:09:41,A4:MEDIUM,CHECKED,06:44:14,A4:MEDIUM,CHECKED,09:03:07,A4:MEDIUM,SKIPPED,,,SKIPPED,,,CHECKED,14:56:55,A4:MEDIUM,CHECKED,18:09:07,A4:MEDIUM,$1.7K / $2.0K
ZKSync_USDT,SKIPPED,,,CHECKED,06:44:14,A4:MEDIUM,CHECKED,09:03:07,A4:MEDIUM,SKIPPED,,,CHECKED,13:03:41,A4:MEDIUM,CHECKED,14:56:55,A4:MEDIUM,SKIPPED,,,$1.9K / $2.2K
