Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),DEPTH
AAVE_USDT,WARNING,00:36:14,A3:CRITICAL|A2:HIGH,SKIPPED,,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$21.4K / $22.5K
AxCNH_USDT,CHECKED,00:36:14,A4:MEDIUM,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,SKIPPED,,,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,A4:MEDIUM,SKIPPED,,,CHECKED,19:48:47,A4:MEDIUM,CHECKED,21:46:21,A4:MEDIUM,CHECKED,23:40:55,A4:MEDIUM,$201 / $233
ADA_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$43.0K / $74.3K
ALGO_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,SKIPPED,,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$46.1K / $51.7K
BCH_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,SKIPPED,,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$12.0K / $15.7K
BNB_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,SKIPPED,,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$67.2K / $67.2K
BONK_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,,CHECKED,21:46:21,A4:MEDIUM,SKIPPED,,,$4.5K / $5.1K
BTC_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,SKIPPED,,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$963.6K / $1.23M
CAKE_USDT,CHECKED,00:36:14,,SKIPPED,,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$7.3K / $9.6K
CFX_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,SKIPPED,,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$23.0K / $25.1K
DASH_USDT,SKIPPED,,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$31.1K / $35.3K
DOT_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,SKIPPED,,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$21.9K / $26.0K
DOGE_USDT,SKIPPED,,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,SKIPPED,,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$10.7K / $15.5K
ETH_USDT,SKIPPED,,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$109.5K / $128.8K
FARTCOIN_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$9.4K / $10.7K
FLOKI_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$11.2K / $13.2K
HYPE_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,CHECKED,12:25:31,A4:MEDIUM,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,A4:MEDIUM,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,A4:MEDIUM,CHECKED,21:46:21,A4:MEDIUM,CHECKED,23:40:55,A4:MEDIUM,$4.4K / $4.5K
LINK_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$26.6K / $26.6K
LSK_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$13.3K / $13.7K
LTC_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$59.2K / $59.2K
NEAR_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,SKIPPED,,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$11.1K / $11.3K
NOS_USDT,CHECKED,00:36:14,A4:MEDIUM,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,SKIPPED,,,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,A4:MEDIUM,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,A4:MEDIUM,CHECKED,21:46:21,A4:MEDIUM,SKIPPED,,,$1.6K / $1.8K
PEPE_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$20.3K / $26.1K
POL_USDT,CHECKED,00:36:14,,SKIPPED,,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$11.8K / $16.6K
RENDER_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,WARNING,19:48:47,A3:CRITICAL|A2:HIGH,CHECKED,21:46:21,,CHECKED,23:40:55,,$5.0K / $5.5K
Sonic_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,SKIPPED,,,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,A4:MEDIUM,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,,CHECKED,21:46:21,A4:MEDIUM,CHECKED,23:40:55,,$5.2K / $5.8K
SHIB_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$6.1K / $6.3K
SLP_USDT,CHECKED,00:36:14,A4:MEDIUM,CHECKED,06:04:36,,SKIPPED,,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,A4:MEDIUM,CHECKED,21:46:21,A4:MEDIUM,CHECKED,23:40:55,,$8.2K / $9.0K
SOL_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$22.3K / $30.6K
STRK_USDT,SKIPPED,,,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,CHECKED,12:25:31,A4:MEDIUM,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,A4:MEDIUM,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,A4:MEDIUM,CHECKED,21:46:21,A4:MEDIUM,CHECKED,23:40:55,A4:MEDIUM,$873 / $972
SUI_USDT,CHECKED,00:36:14,A4:MEDIUM,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$5.2K / $5.8K
TON_USDT,CHECKED,00:36:14,A4:MEDIUM,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,CHECKED,12:25:31,A4:MEDIUM,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,A4:MEDIUM,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,A4:MEDIUM,CHECKED,21:46:21,A4:MEDIUM,CHECKED,23:40:55,A4:MEDIUM,$1.7K / $3.2K
TRX_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,SKIPPED,,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$385.7K / $385.7K
USDC_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,WARNING,17:52:22,A3:CRITICAL|A2:HIGH,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$2.01M / $2.64M
WIF_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,A4:MEDIUM,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$6.3K / $6.9K
XLM_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,WARNING,19:48:47,A3:CRITICAL|A2:HIGH,CHECKED,21:46:21,,SKIPPED,,,$38.9K / $67.7K
XRP_USDT,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,SKIPPED,,,CHECKED,23:40:55,,$46.5K / $46.5K
XYO_USDT,CHECKED,00:36:14,A4:MEDIUM,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,SKIPPED,,,SKIPPED,,,SKIPPED,,,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,A4:MEDIUM,CHECKED,21:46:21,A4:MEDIUM,SKIPPED,,,$321 / $412
ZKSync_USDT,CHECKED,00:36:14,A4:MEDIUM,CHECKED,06:04:36,A4:MEDIUM,CHECKED,09:36:18,A4:MEDIUM,CHECKED,12:25:31,A4:MEDIUM,SKIPPED,,,CHECKED,16:08:48,A4:MEDIUM,CHECKED,17:52:22,A4:MEDIUM,CHECKED,19:48:47,A4:MEDIUM,WARNING,21:46:21,A3:CRITICAL|A2:HIGH,SKIPPED,,,$0 / $0
BTC_NGN,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,SKIPPED,,,CHECKED,16:08:48,,CHECKED,17:52:22,,WARNING,19:48:47,A3:CRITICAL|A2:HIGH,CHECKED,21:46:21,,CHECKED,23:40:55,,$1820.06M / $1820.06M
USDT_NGN,CHECKED,00:36:14,A2:HIGH,CHECKED,06:04:36,A2:HIGH,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,A2:HIGH,CHECKED,16:08:48,A2:HIGH,CHECKED,17:52:22,,CHECKED,19:48:47,A2:HIGH,SKIPPED,,,CHECKED,23:40:55,,$2381.62M / $2381.62M
ETH_NGN,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,SKIPPED,,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$1051.16M / $1051.16M
TRX_NGN,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$505.63M / $505.63M
XRP_NGN,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,SKIPPED,,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,CHECKED,23:40:55,,$99.55M / $99.55M
DASH_NGN,CHECKED,00:36:14,,CHECKED,06:04:36,,CHECKED,09:36:18,,CHECKED,12:25:31,,CHECKED,14:00:37,,CHECKED,16:08:48,,CHECKED,17:52:22,,CHECKED,19:48:47,,CHECKED,21:46:21,,SKIPPED,,,$49.97M / $49.97M
